model,model_weights,model_source,dataset(subset),std_output_path,embedding_path
resnet18,IMAGENET1K_V1,torchvision,cifar10(0),./dataStorage/model_output/std_output/resnet18_IMAGENET1K_V1_torchvision_cifar10(0).pt,./dataStorage/model_output/embedding/resnet18_IMAGENET1K_V1_torchvision_cifar10(0).pt
resnet18,IMAGENET1K_V1,torchvision,cifar100(0),./dataStorage/model_output/std_output/resnet18_IMAGENET1K_V1_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/resnet18_IMAGENET1K_V1_torchvision_cifar100(0).pt
resnet50,IMAGENET1K_V1,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/resnet50_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/resnet50_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt
resnet50,IMAGENET1K_V1,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/resnet50_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/resnet50_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt
resnet50,IMAGENET1K_V1,torchvision,cifar10(0),./dataStorage/model_output/std_output/resnet50_IMAGENET1K_V1_torchvision_cifar10(0).pt,./dataStorage/model_output/embedding/resnet50_IMAGENET1K_V1_torchvision_cifar10(0).pt
resnet50,IMAGENET1K_V1,torchvision,cifar100(0),./dataStorage/model_output/std_output/resnet50_IMAGENET1K_V1_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/resnet50_IMAGENET1K_V1_torchvision_cifar100(0).pt
resnet152,IMAGENET1K_V1,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/resnet152_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/resnet152_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt
resnet152,IMAGENET1K_V1,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/resnet152_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/resnet152_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt
resnet152,IMAGENET1K_V1,torchvision,cifar10(0),./dataStorage/model_output/std_output/resnet152_IMAGENET1K_V1_torchvision_cifar10(0).pt,./dataStorage/model_output/embedding/resnet152_IMAGENET1K_V1_torchvision_cifar10(0).pt
resnet152,IMAGENET1K_V1,torchvision,cifar100(0),./dataStorage/model_output/std_output/resnet152_IMAGENET1K_V1_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/resnet152_IMAGENET1K_V1_torchvision_cifar100(0).pt
regnet_y_16gf,IMAGENET1K_V1,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt
regnet_y_16gf,IMAGENET1K_V1,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt
regnet_y_16gf,IMAGENET1K_V1,torchvision,cifar10(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V1_torchvision_cifar10(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V1_torchvision_cifar10(0).pt
regnet_y_16gf,IMAGENET1K_V1,torchvision,cifar100(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V1_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V1_torchvision_cifar100(0).pt
regnet_y_16gf,IMAGENET1K_V2,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V2_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V2_torchvision_timm-mini-imagenet(0).pt
regnet_y_16gf,IMAGENET1K_V2,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V2_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V2_torchvision_imagenet-sketch(0).pt
regnet_y_16gf,IMAGENET1K_V2,torchvision,cifar10(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V2_torchvision_cifar10(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V2_torchvision_cifar10(0).pt
regnet_y_16gf,IMAGENET1K_V2,torchvision,cifar100(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_V2_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_V2_torchvision_cifar100(0).pt
regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_timm-mini-imagenet(0).pt
regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(0).pt
regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,cifar10(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_cifar10(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_cifar10(0).pt
regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,torchvision,cifar100(0),./dataStorage/model_output/std_output/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_cifar100(0).pt
regnet_y_32gf,IMAGENET1K_V2,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/regnet_y_32gf_IMAGENET1K_V2_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/regnet_y_32gf_IMAGENET1K_V2_torchvision_timm-mini-imagenet(0).pt
regnet_y_32gf,IMAGENET1K_V2,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/regnet_y_32gf_IMAGENET1K_V2_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/regnet_y_32gf_IMAGENET1K_V2_torchvision_imagenet-sketch(0).pt
regnet_y_32gf,IMAGENET1K_V2,torchvision,cifar10(0),./dataStorage/model_output/std_output/regnet_y_32gf_IMAGENET1K_V2_torchvision_cifar10(0).pt,./dataStorage/model_output/embedding/regnet_y_32gf_IMAGENET1K_V2_torchvision_cifar10(0).pt
regnet_y_32gf,IMAGENET1K_V2,torchvision,cifar100(0),./dataStorage/model_output/std_output/regnet_y_32gf_IMAGENET1K_V2_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/regnet_y_32gf_IMAGENET1K_V2_torchvision_cifar100(0).pt
vit_b_16,IMAGENET1K_V1,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt
vit_b_16,IMAGENET1K_V1,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt
vit_b_16,IMAGENET1K_V1,torchvision,cifar100(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_V1_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_V1_torchvision_cifar100(0).pt
vit_b_16,IMAGENET1K_SWAG_E2E_V1,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_timm-mini-imagenet(0).pt
vit_b_16,IMAGENET1K_SWAG_E2E_V1,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-sketch(0).pt
vit_b_16,IMAGENET1K_SWAG_E2E_V1,torchvision,cifar10(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_cifar10(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_cifar10(0).pt
vit_b_16,IMAGENET1K_SWAG_E2E_V1,torchvision,cifar100(0),./dataStorage/model_output/std_output/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_cifar100(0).pt
vit_l_16,IMAGENET1K_V1,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/vit_l_16_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/vit_l_16_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt
vit_l_16,IMAGENET1K_V1,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/vit_l_16_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/vit_l_16_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt
vit_l_16,IMAGENET1K_V1,torchvision,cifar10(0),./dataStorage/model_output/std_output/vit_l_16_IMAGENET1K_V1_torchvision_cifar10(0).pt,./dataStorage/model_output/embedding/vit_l_16_IMAGENET1K_V1_torchvision_cifar10(0).pt
vit_l_16,IMAGENET1K_V1,torchvision,cifar100(0),./dataStorage/model_output/std_output/vit_l_16_IMAGENET1K_V1_torchvision_cifar100(0).pt,./dataStorage/model_output/embedding/vit_l_16_IMAGENET1K_V1_torchvision_cifar100(0).pt
convnext_tiny,IMAGENET1K_V1,torchvision,timm-mini-imagenet(0),./dataStorage/model_output/std_output/convnext_tiny_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/convnext_tiny_IMAGENET1K_V1_torchvision_timm-mini-imagenet(0).pt
efficientnet_b7,IMAGENET1K_V1,torchvision,imagenet-sketch(0),./dataStorage/model_output/std_output/efficientnet_b7_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/efficientnet_b7_IMAGENET1K_V1_torchvision_imagenet-sketch(0).pt
ViT-L-14,DEFAULT,open_clip,cifar10(0),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_open_clip_cifar10(0).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_open_clip_cifar10(0).pt
ViT-L-14,DEFAULT,open_clip,cifar100(0),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_open_clip_cifar100(0).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_open_clip_cifar100(0).pt
ViT-B-32-256,DEFAULT,open_clip,timm-mini-imagenet(0),./dataStorage/model_output/std_output/ViT-B-32-256_DEFAULT_open_clip_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/ViT-B-32-256_DEFAULT_open_clip_timm-mini-imagenet(0).pt
ViT-B-16,DEFAULT,open_clip,timm-mini-imagenet(0),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_open_clip_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_open_clip_timm-mini-imagenet(0).pt
ViT-B-32-256,DEFAULT,open_clip,imagenet-sketch(0),./dataStorage/model_output/std_output/ViT-B-32-256_DEFAULT_open_clip_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/ViT-B-32-256_DEFAULT_open_clip_imagenet-sketch(0).pt
ViT-B-16,DEFAULT,open_clip,imagenet-sketch(0),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_open_clip_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_open_clip_imagenet-sketch(0).pt
ViT-B-32-256,DEFAULT,open_clip,cifar10(0),./dataStorage/model_output/std_output/ViT-B-32-256_DEFAULT_open_clip_cifar10(0).pt,./dataStorage/model_output/embedding/ViT-B-32-256_DEFAULT_open_clip_cifar10(0).pt
ViT-B-16,DEFAULT,open_clip,cifar10(0),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_open_clip_cifar10(0).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_open_clip_cifar10(0).pt
ViT-B-32-256,DEFAULT,open_clip,cifar100(0),./dataStorage/model_output/std_output/ViT-B-32-256_DEFAULT_open_clip_cifar100(0).pt,./dataStorage/model_output/embedding/ViT-B-32-256_DEFAULT_open_clip_cifar100(0).pt
ViT-B-16,DEFAULT,open_clip,cifar100(0),./dataStorage/model_output/std_output/ViT-B-16_DEFAULT_open_clip_cifar100(0).pt,./dataStorage/model_output/embedding/ViT-B-16_DEFAULT_open_clip_cifar100(0).pt
ViT-L-14,DEFAULT,open_clip,timm-mini-imagenet(0),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_open_clip_timm-mini-imagenet(0).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_open_clip_timm-mini-imagenet(0).pt
ViT-L-14,DEFAULT,open_clip,imagenet-sketch(0),./dataStorage/model_output/std_output/ViT-L-14_DEFAULT_open_clip_imagenet-sketch(0).pt,./dataStorage/model_output/embedding/ViT-L-14_DEFAULT_open_clip_imagenet-sketch(0).pt
